sessionId,timestamp,role,content,turnIndex,topic,topicSegmentId,topicSegmentIndex,topicSummary,topicStartTurn,topicEndTurn,topicSource,topicConfidence,emotionPolarity,emotionIntensity,emotionLabel,emotionBaseScore,emotionScore,emotionEvidence,emotionSource,emotionConfidence,emotionValenceWeight,emotionLengthWeight,emotionStyleWeight,emotionGapWeight,emotionRecoveryWeight,emotionRiskPenalty,responseGapSec,isDropoffTurn,isQuestion,isTopicSwitch,activeHour,tokenCountEstimate
sess_001,2026-04-15T20:00:00+08:00,user,今天有点累我想找个人说说话,1,工作压力与沟通,sess_001_topic_1,1,工作压力与沟通：今天有点累我想找个人说说话,1,12,rule,0.69,negative,medium,负向-中强度,35,37.6,工作上被否定了三次我觉得自己很差,llm,0.92,-4,3.3,4.5,0,0,1.2,,false,false,false,20,9
sess_001,2026-04-15T20:00:22+08:00,assistant,我在这里陪你你愿意先说说最累的是哪一部分吗,2,工作压力与沟通,sess_001_topic_1,1,工作压力与沟通：今天有点累我想找个人说说话,1,12,rule,0.69,negative,medium,负向-中强度,35,37.6,工作上被否定了三次我觉得自己很差,llm,0.92,-4,3.3,4.5,0,0,1.2,22,false,false,false,20,14
sess_001,2026-04-15T20:01:10+08:00,user,工作上被否定了三次我觉得自己很差,3,工作压力与沟通,sess_001_topic_1,1,工作压力与沟通：今天有点累我想找个人说说话,1,12,rule,0.69,negative,medium,负向-中强度,35,37.6,工作上被否定了三次我觉得自己很差,llm,0.92,-4,3.3,4.5,0,0,1.2,48,false,false,false,20,10
sess_001,2026-04-15T20:01:33+08:00,assistant,连续被否定真的很伤人你现在这样难受是很正常的,4,工作压力与沟通,sess_001_topic_1,1,工作压力与沟通：今天有点累我想找个人说说话,1,12,rule,0.69,negative,medium,负向-中强度,35,37.6,工作上被否定了三次我觉得自己很差,llm,0.92,-4,3.3,4.5,0,0,1.2,23,false,false,false,20,14
sess_001,2026-04-15T20:02:41+08:00,user,我开始怀疑是不是我根本不适合这份工作,5,工作压力与沟通,sess_001_topic_1,1,工作压力与沟通：今天有点累我想找个人说说话,1,12,rule,0.69,negative,medium,负向-中强度,35,37.6,工作上被否定了三次我觉得自己很差,llm,0.92,-4,3.3,4.5,0,0,1.2,68,false,false,false,20,12
sess_001,2026-04-15T20:03:02+08:00,assistant,我们先不急着给自己下结论你愿意一起回看今天具体发生了什么吗,6,工作压力与沟通,sess_001_topic_1,1,工作压力与沟通：今天有点累我想找个人说说话,1,12,rule,0.69,negative,medium,负向-中强度,35,37.6,工作上被否定了三次我觉得自己很差,llm,0.92,-4,3.3,4.5,0,0,1.2,21,false,false,false,20,19
sess_001,2026-04-15T20:04:12+08:00,user,早会方案被主管说不落地中午复盘又说逻辑散晚上客户还临时改需求,7,工作压力与沟通,sess_001_topic_1,1,工作压力与沟通：今天有点累我想找个人说说话,1,12,rule,0.69,negative,medium,负向-中强度,35,37.6,工作上被否定了三次我觉得自己很差,llm,0.92,-4,3.3,4.5,0,0,1.2,70,false,false,false,20,19
sess_001,2026-04-15T20:04:35+08:00,assistant,你今天其实扛了很多而且每一次都还在继续应对这说明你并没有放弃,8,工作压力与沟通,sess_001_topic_1,1,工作压力与沟通：今天有点累我想找个人说说话,1,12,rule,0.69,negative,medium,负向-中强度,35,37.6,工作上被否定了三次我觉得自己很差,llm,0.92,-4,3.3,4.5,0,0,1.2,23,false,false,false,20,19
sess_001,2026-04-15T20:05:11+08:00,user,可我只记得自己被批评,9,工作压力与沟通,sess_001_topic_1,1,工作压力与沟通：今天有点累我想找个人说说话,1,12,rule,0.69,negative,medium,负向-中强度,35,37.6,工作上被否定了三次我觉得自己很差,llm,0.92,-4,3.3,4.5,0,0,1.2,36,false,false,false,20,7
sess_001,2026-04-15T20:05:39+08:00,assistant,大脑在压力下会优先记录威胁我们可以尝试补上你做对的两件事,10,工作压力与沟通,sess_001_topic_1,1,工作压力与沟通：今天有点累我想找个人说说话,1,12,rule,0.69,negative,medium,负向-中强度,35,37.6,工作上被否定了三次我觉得自己很差,llm,0.92,-4,3.3,4.5,0,0,1.2,28,false,false,false,20,18
